Frequence = 10 Ghz;
N = 5784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000190142; Faza = -118.582 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
74   X = 20 mm; Y = 69 mm; Amplitude = 5.06269e-005; Faza = -118.796 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
75   X = 20 mm; Y = 69 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
76   X = 20 mm; Y = 71 mm; Amplitude = 0.000175459; Faza = 141.223 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
77   X = 20 mm; Y = 71 mm; Amplitude = 5.88743e-005; Faza = -96.5668 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
78   X = 20 mm; Y = 71 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
79   X = 20 mm; Y = 73 mm; Amplitude = 0.000173772; Faza = 162.021 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
80   X = 20 mm; Y = 73 mm; Amplitude = 6.31494e-005; Faza = -78.2749 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
81   X = 20 mm; Y = 73 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
82   X = 20 mm; Y = 75 mm; Amplitude = 0.000167019; Faza = -175.673 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
83   X = 20 mm; Y = 75 mm; Amplitude = 6.18695e-005; Faza = -61.0957 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
84   X = 20 mm; Y = 75 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
85   X = 20 mm; Y = 77 mm; Amplitude = 0.000158954; Faza = -150.823 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
86   X = 20 mm; Y = 77 mm; Amplitude = 5.48059e-005; Faza = -42.5761 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
87   X = 20 mm; Y = 77 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
88   X = 20 mm; Y = 79 mm; Amplitude = 0.000155191; Faza = -123.195 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
89   X = 20 mm; Y = 79 mm; Amplitude = 4.33162e-005; Faza = -18.5359 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
90   X = 20 mm; Y = 79 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
91   X = 20 mm; Y = 81 mm; Amplitude = 0.000161039; Faza = -94.3903 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
92   X = 20 mm; Y = 81 mm; Amplitude = 3.25734e-005; Faza = 20.6987 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
93   X = 20 mm; Y = 81 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
94   X = 20 mm; Y = 83 mm; Amplitude = 0.000177825; Faza = -67.256 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
95   X = 20 mm; Y = 83 mm; Amplitude = 3.52772e-005; Faza = 75.4604 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
96   X = 20 mm; Y = 83 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
97   X = 20 mm; Y = 85 mm; Amplitude = 0.000201937; Faza = -43.5247 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
98   X = 20 mm; Y = 85 mm; Amplitude = 5.43922e-005; Faza = -246.576 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
99   X = 20 mm; Y = 85 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
100   X = 20 mm; Y = 87 mm; Amplitude = 0.000227593; Faza = -23.1279 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
101   X = 20 mm; Y = 87 mm; Amplitude = 7.98781e-005; Faza = -224.197 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
102   X = 20 mm; Y = 87 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
103   X = 20 mm; Y = 89 mm; Amplitude = 0.000249388; Faza = -5.22956 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
104   X = 20 mm; Y = 89 mm; Amplitude = 0.000105952; Faza = -208.159 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
105   X = 20 mm; Y = 89 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
106   X = 20 mm; Y = 91 mm; Amplitude = 0.000263191; Faza = 11.0224 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
107   X = 20 mm; Y = 91 mm; Amplitude = 0.000129505; Faza = -194.892 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
108   X = 20 mm; Y = 91 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
109   X = 20 mm; Y = 93 mm; Amplitude = 0.000266287; Faza = 26.3167 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
110   X = 20 mm; Y = 93 mm; Amplitude = 0.00014836; Faza = -183.017 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
111   X = 20 mm; Y = 93 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
112   X = 20 mm; Y = 95 mm; Amplitude = 0.000257376; Faza = 41.2236 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
113   X = 20 mm; Y = 95 mm; Amplitude = 0.000160931; Faza = -171.906 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
114   X = 20 mm; Y = 95 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
115   X = 20 mm; Y = 97 mm; Amplitude = 0.000236534; Faza = 56.3 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
116   X = 20 mm; Y = 97 mm; Amplitude = 0.000166186; Faza = -161.232 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
117   X = 20 mm; Y = 97 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
118   X = 20 mm; Y = 99 mm; Amplitude = 0.000205167; Faza = 72.2535 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
119   X = 20 mm; Y = 99 mm; Amplitude = 0.000163672; Faza = -150.796 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
120   X = 20 mm; Y = 99 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
121   X = 20 mm; Y = 101 mm; Amplitude = 0.000166023; Faza = 90.2836 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
122   X = 20 mm; Y = 101 mm; Amplitude = 0.000153513; Faza = -140.464 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
123   X = 20 mm; Y = 101 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
124   X = 20 mm; Y = 103 mm; Amplitude = 0.000123645; Faza = 112.979 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
125   X = 20 mm; Y = 103 mm; Amplitude = 0.000136384; Faza = -130.122 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
126   X = 20 mm; Y = 103 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
127   X = 20 mm; Y = 105 mm; Amplitude = 8.65604e-005; Faza = 146.479 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
128   X = 20 mm; Y = 105 mm; Amplitude = 0.000113442; Faza = -119.642 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
129   X = 20 mm; Y = 105 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
130   X = 20 mm; Y = 107 mm; Amplitude = 0; Faza = -163.199 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
131   X = 20 mm; Y = 107 mm; Amplitude = 0; Faza = -108.822 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
132   X = 20 mm; Y = 107 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
133   X = 20 mm; Y = 109 mm; Amplitude = 0; Faza = -116.566 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
134   X = 20 mm; Y = 109 mm; Amplitude = 0; Faza = -97.1425 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
135   X = 20 mm; Y = 109 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
136   X = 20 mm; Y = 111 mm; Amplitude = 0; Faza = -86.0778 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
137   X = 20 mm; Y = 111 mm; Amplitude = 0; Faza = -82.0238 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
138   X = 20 mm; Y = 111 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
139   X = 20 mm; Y = 113 mm; Amplitude = 0.000151943; Faza = -63.7272 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
140   X = 20 mm; Y = 113 mm; Amplitude = 4.96259e-006; Faza = 44.9963 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
141   X = 20 mm; Y = 113 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
142   X = 20 mm; Y = 115 mm; Amplitude = 0.000175732; Faza = -44.5587 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
143   X = 20 mm; Y = 115 mm; Amplitude = 2.90453e-005; Faza = -257.388 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
144   X = 20 mm; Y = 115 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
145   X = 20 mm; Y = 117 mm; Amplitude = 0.000190792; Faza = -26.4416 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
146   X = 20 mm; Y = 117 mm; Amplitude = 5.0263e-005; Faza = -242.737 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
147   X = 20 mm; Y = 117 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
148   X = 20 mm; Y = 119 mm; Amplitude = 0.000196749; Faza = -8.24362 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
149   X = 20 mm; Y = 119 mm; Amplitude = 6.58856e-005; Faza = -229.853 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
150   X = 20 mm; Y = 119 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
151   X = 20 mm; Y = 121 mm; Amplitude = 0.000194564; Faza = 10.8659 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
152   X = 20 mm; Y = 121 mm; Amplitude = 7.5195e-005; Faza = -216.854 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
153   X = 20 mm; Y = 121 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
154   X = 20 mm; Y = 123 mm; Amplitude = 0.000186534; Faza = 31.6608 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
155   X = 20 mm; Y = 123 mm; Amplitude = 7.8059e-005; Faza = -202.994 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
156   X = 20 mm; Y = 123 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
157   X = 20 mm; Y = 125 mm; Amplitude = 0.000176351; Faza = 54.8326 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
158   X = 20 mm; Y = 125 mm; Amplitude = 7.49932e-005; Faza = -187.465 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
159   X = 20 mm; Y = 125 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
160   X = 20 mm; Y = 127 mm; Amplitude = 0.000168794; Faza = 80.5954 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
161   X = 20 mm; Y = 127 mm; Amplitude = 6.73411e-005; Faza = -168.946 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
162   X = 20 mm; Y = 127 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
163   X = 20 mm; Y = 129 mm; Amplitude = 0.000168315; Faza = 108.014 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
164   X = 20 mm; Y = 129 mm; Amplitude = 5.76957e-005; Faza = -145.194 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
165   X = 20 mm; Y = 129 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
166   X = 20 mm; Y = 131 mm; Amplitude = 0.000176562; Faza = 135.06 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
167   X = 20 mm; Y = 131 mm; Amplitude = 5.057e-005; Faza = -113.757 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
168   X = 20 mm; Y = 131 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
169   X = 20 mm; Y = 133 mm; Amplitude = 0.000191238; Faza = 160.003 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
170   X = 20 mm; Y = 133 mm; Amplitude = 5.139e-005; Faza = -77.3679 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
171   X = 20 mm; Y = 133 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
172   X = 20 mm; Y = 135 mm; Amplitude = 0.000207744; Faza = -177.586 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
173   X = 20 mm; Y = 135 mm; Amplitude = 6.1042e-005; Faza = -45.3422 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
174   X = 20 mm; Y = 135 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
175   X = 20 mm; Y = 137 mm; Amplitude = 0.000221447; Faza = -157.198 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
176   X = 20 mm; Y = 137 mm; Amplitude = 7.49706e-005; Faza = -21.0682 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
177   X = 20 mm; Y = 137 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
178   X = 20 mm; Y = 139 mm; Amplitude = 0.000228861; Faza = -138.022 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
179   X = 20 mm; Y = 139 mm; Amplitude = 8.84873e-005; Faza = -2.20447 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
180   X = 20 mm; Y = 139 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
181   X = 20 mm; Y = 141 mm; Amplitude = 0.00022802; Faza = -119.211 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
182   X = 20 mm; Y = 141 mm; Amplitude = 9.84511e-005; Faza = 13.6025 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
183   X = 20 mm; Y = 141 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
184   X = 20 mm; Y = 143 mm; Amplitude = 0.00021862; Faza = -99.8691 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
185   X = 20 mm; Y = 143 mm; Amplitude = 0.000102852; Faza = 27.7764 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
186   X = 20 mm; Y = 143 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
187   X = 20 mm; Y = 145 mm; Amplitude = 0.000202224; Faza = -78.9407 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
188   X = 20 mm; Y = 145 mm; Amplitude = 0.000100496; Faza = 41.2194 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
