Frequence = 40 Ghz;
N = 6894;
1.
1   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00402676; Faza = 139.527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
32   X = 6 mm; Y = 12.3 mm; Amplitude = 0.00363765; Faza = -41.1512 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
33   X = 6 mm; Y = 12.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
34   X = 6 mm; Y = 12.9 mm; Amplitude = 0.00342453; Faza = 133.425 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
35   X = 6 mm; Y = 12.9 mm; Amplitude = 0.00328187; Faza = -39.5386 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
36   X = 6 mm; Y = 12.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
37   X = 6 mm; Y = 13.5 mm; Amplitude = 0.00301561; Faza = 136.007 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
38   X = 6 mm; Y = 13.5 mm; Amplitude = 0.00286089; Faza = -36.3079 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
39   X = 6 mm; Y = 13.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
40   X = 6 mm; Y = 14.1 mm; Amplitude = 0.00253992; Faza = 141.263 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
41   X = 6 mm; Y = 14.1 mm; Amplitude = 0.00238952; Faza = -30.4307 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
42   X = 6 mm; Y = 14.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
43   X = 6 mm; Y = 14.7 mm; Amplitude = 0.00202963; Faza = 151.193 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
44   X = 6 mm; Y = 14.7 mm; Amplitude = 0.00190497; Faza = -19.8326 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
45   X = 6 mm; Y = 14.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
46   X = 6 mm; Y = 15.3 mm; Amplitude = 0.00157454; Faza = 169.93 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
47   X = 6 mm; Y = 15.3 mm; Amplitude = 0.00149616; Faza = -0.622904 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
48   X = 6 mm; Y = 15.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
49   X = 6 mm; Y = 15.9 mm; Amplitude = 0.00137922; Faza = -158.92 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
50   X = 6 mm; Y = 15.9 mm; Amplitude = 0.00134252; Faza = 29.4624 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
51   X = 6 mm; Y = 15.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
52   X = 6 mm; Y = 16.5 mm; Amplitude = 0.00163457; Faza = -126.893 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
53   X = 6 mm; Y = 16.5 mm; Amplitude = 0.00158189; Faza = 59.269 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
54   X = 6 mm; Y = 16.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
55   X = 6 mm; Y = 17.1 mm; Amplitude = 0.00221645; Faza = -106.51 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
56   X = 6 mm; Y = 17.1 mm; Amplitude = 0.00209702; Faza = 78.5952 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
57   X = 6 mm; Y = 17.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
58   X = 6 mm; Y = 17.7 mm; Amplitude = 0.00292385; Faza = -94.5768 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
59   X = 6 mm; Y = 17.7 mm; Amplitude = 0.00272058; Faza = -269.81 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
60   X = 6 mm; Y = 17.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
61   X = 6 mm; Y = 18.3 mm; Amplitude = 0.00364693; Faza = -86.8 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
62   X = 6 mm; Y = 18.3 mm; Amplitude = 0.00335921; Faza = -262.19 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
63   X = 6 mm; Y = 18.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
64   X = 6 mm; Y = 18.9 mm; Amplitude = 0.00432635; Faza = -81.0647 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
65   X = 6 mm; Y = 18.9 mm; Amplitude = 0.00396193; Faza = -256.596 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
66   X = 6 mm; Y = 18.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
67   X = 6 mm; Y = 19.5 mm; Amplitude = 0.00492434; Faza = -76.3805 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
68   X = 6 mm; Y = 19.5 mm; Amplitude = 0.00449623; Faza = -252.083 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
69   X = 6 mm; Y = 19.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
70   X = 6 mm; Y = 20.1 mm; Amplitude = 0.00541518; Faza = -72.2466 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
71   X = 6 mm; Y = 20.1 mm; Amplitude = 0.00493953; Faza = -248.162 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
72   X = 6 mm; Y = 20.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
73   X = 6 mm; Y = 20.7 mm; Amplitude = 0.00578197; Faza = -68.3854 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
74   X = 6 mm; Y = 20.7 mm; Amplitude = 0.00527624; Faza = -244.56 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
75   X = 6 mm; Y = 20.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
76   X = 6 mm; Y = 21.3 mm; Amplitude = 0.00601523; Faza = -64.6284 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
77   X = 6 mm; Y = 21.3 mm; Amplitude = 0.00549654; Faza = -241.105 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
78   X = 6 mm; Y = 21.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
79   X = 6 mm; Y = 21.9 mm; Amplitude = 0.00611191; Faza = -60.8619 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
80   X = 6 mm; Y = 21.9 mm; Amplitude = 0.00559574; Faza = -237.677 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
81   X = 6 mm; Y = 21.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
82   X = 6 mm; Y = 22.5 mm; Amplitude = 0.00607445; Faza = -56.9968 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
83   X = 6 mm; Y = 22.5 mm; Amplitude = 0.00557384; Faza = -234.176 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
84   X = 6 mm; Y = 22.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
85   X = 6 mm; Y = 23.1 mm; Amplitude = 0.00590991; Faza = -52.9476 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
86   X = 6 mm; Y = 23.1 mm; Amplitude = 0.00543504; Faza = -230.498 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
87   X = 6 mm; Y = 23.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
88   X = 6 mm; Y = 23.7 mm; Amplitude = 0.00562927; Faza = -48.6127 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
89   X = 6 mm; Y = 23.7 mm; Amplitude = 0.00518757; Faza = -226.522 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
90   X = 6 mm; Y = 23.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
91   X = 6 mm; Y = 24.3 mm; Amplitude = 0.0052471; Faza = -43.8493 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
92   X = 6 mm; Y = 24.3 mm; Amplitude = 0.00484355; Faza = -222.082 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
93   X = 6 mm; Y = 24.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
94   X = 6 mm; Y = 24.9 mm; Amplitude = 0.00478173; Faza = -38.4368 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
95   X = 6 mm; Y = 24.9 mm; Amplitude = 0.00441942; Faza = -216.933 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
96   X = 6 mm; Y = 24.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
97   X = 6 mm; Y = 25.5 mm; Amplitude = 0.00425641; Faza = -32.0187 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
98   X = 6 mm; Y = 25.5 mm; Amplitude = 0.003937; Faza = -210.696 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
99   X = 6 mm; Y = 25.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
100   X = 6 mm; Y = 26.1 mm; Amplitude = 0.00370205; Faza = -24.0138 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
101   X = 6 mm; Y = 26.1 mm; Amplitude = 0.00342602; Faza = -202.769 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
102   X = 6 mm; Y = 26.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
103   X = 6 mm; Y = 26.7 mm; Amplitude = 0.00316274; Faza = -13.5114 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
104   X = 6 mm; Y = 26.7 mm; Amplitude = 0.00292912; Faza = -192.236 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
105   X = 6 mm; Y = 26.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
106   X = 6 mm; Y = 27.3 mm; Amplitude = 0.00270446; Faza = 0.672033 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
107   X = 6 mm; Y = 27.3 mm; Amplitude = 0.00250926; Faza = -177.953 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
108   X = 6 mm; Y = 27.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
109   X = 6 mm; Y = 27.9 mm; Amplitude = 0.00241923; Faza = 19.1379 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
110   X = 6 mm; Y = 27.9 mm; Amplitude = 0.00225159; Faza = -159.445 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
111   X = 6 mm; Y = 27.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
112   X = 6 mm; Y = 28.5 mm; Amplitude = 0.00239321; Faza = 39.8818 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
113   X = 6 mm; Y = 28.5 mm; Amplitude = 0.00223118; Faza = -138.843 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
114   X = 6 mm; Y = 28.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
115   X = 6 mm; Y = 29.1 mm; Amplitude = 0.00263313; Faza = 58.535 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
116   X = 6 mm; Y = 29.1 mm; Amplitude = 0.00244775; Faza = -120.409 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
117   X = 6 mm; Y = 29.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
118   X = 6 mm; Y = 29.7 mm; Amplitude = 0.00305755; Faza = 72.5731 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
119   X = 6 mm; Y = 29.7 mm; Amplitude = 0.00282386; Faza = -106.502 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
120   X = 6 mm; Y = 29.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
121   X = 6 mm; Y = 30.3 mm; Amplitude = 0.00356909; Faza = 82.3511 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
122   X = 6 mm; Y = 30.3 mm; Amplitude = 0.00327119; Faza = -96.7603 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
123   X = 6 mm; Y = 30.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
124   X = 6 mm; Y = 30.9 mm; Amplitude = 0.00409475; Faza = 89.0829 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
125   X = 6 mm; Y = 30.9 mm; Amplitude = 0.00372544; Faza = -90.0306 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
126   X = 6 mm; Y = 30.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
127   X = 6 mm; Y = 31.5 mm; Amplitude = 0.00458478; Faza = 93.7715 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
128   X = 6 mm; Y = 31.5 mm; Amplitude = 0.00414499; Faza = -85.3594 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
129   X = 6 mm; Y = 31.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
130   X = 6 mm; Y = 32.1 mm; Amplitude = 0.00500411; Faza = 97.0796 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
131   X = 6 mm; Y = 32.1 mm; Amplitude = 0.00450301; Faza = -82.1088 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
132   X = 6 mm; Y = 32.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
133   X = 6 mm; Y = 32.7 mm; Amplitude = 0.00532717; Faza = 99.4245 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
134   X = 6 mm; Y = 32.7 mm; Amplitude = 0.0047822; Faza = -79.8657 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
135   X = 6 mm; Y = 32.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
136   X = 6 mm; Y = 33.3 mm; Amplitude = 0.0055359; Faza = 101.068 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
137   X = 6 mm; Y = 33.3 mm; Amplitude = 0.00497199; Faza = -78.3532 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
138   X = 6 mm; Y = 33.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
139   X = 6 mm; Y = 33.9 mm; Amplitude = 0.00561947; Faza = 102.178 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
140   X = 6 mm; Y = 33.9 mm; Amplitude = 0.00506701; Faza = -77.3726 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
141   X = 6 mm; Y = 33.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
142   X = 6 mm; Y = 34.5 mm; Amplitude = 0.00557462; Faza = 102.863 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
143   X = 6 mm; Y = 34.5 mm; Amplitude = 0.00506628; Faza = -76.7666 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
144   X = 6 mm; Y = 34.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
145   X = 6 mm; Y = 35.1 mm; Amplitude = 0.00540592; Faza = 103.207 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
146   X = 6 mm; Y = 35.1 mm; Amplitude = 0.00497247; Faza = -76.3936 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
147   X = 6 mm; Y = 35.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
148   X = 6 mm; Y = 35.7 mm; Amplitude = 0.00512541; Faza = 103.287 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
149   X = 6 mm; Y = 35.7 mm; Amplitude = 0.00479134; Faza = -76.108 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
150   X = 6 mm; Y = 35.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
151   X = 6 mm; Y = 36.3 mm; Amplitude = 0.00475139; Faza = 103.208 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
152   X = 6 mm; Y = 36.3 mm; Amplitude = 0.00453117; Faza = -75.7392 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
153   X = 6 mm; Y = 36.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
154   X = 6 mm; Y = 36.9 mm; Amplitude = 0.00430632; Faza = 103.138 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
155   X = 6 mm; Y = 36.9 mm; Amplitude = 0.00420238; Faza = -75.0669 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
156   X = 6 mm; Y = 36.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
157   X = 6 mm; Y = 37.5 mm; Amplitude = 0.00381424; Faza = 103.369 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
158   X = 6 mm; Y = 37.5 mm; Amplitude = 0.00381749; Faza = -73.783 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
159   X = 6 mm; Y = 37.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
160   X = 6 mm; Y = 38.1 mm; Amplitude = 0.0032988; Faza = 104.409 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
161   X = 6 mm; Y = 38.1 mm; Amplitude = 0.00339191; Faza = -71.4301 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
162   X = 6 mm; Y = 38.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
163   X = 6 mm; Y = 38.7 mm; Amplitude = 0.00278365; Faza = 107.136 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
164   X = 6 mm; Y = 38.7 mm; Amplitude = 0.00294635; Faza = -67.3005 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
165   X = 6 mm; Y = 38.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
166   X = 6 mm; Y = 39.3 mm; Amplitude = 0.00229864; Faza = 113.047 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
167   X = 6 mm; Y = 39.3 mm; Amplitude = 0.00251249; Faza = -60.298 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
168   X = 6 mm; Y = 39.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
169   X = 6 mm; Y = 39.9 mm; Amplitude = 0.00189668; Faza = 124.439 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
170   X = 6 mm; Y = 39.9 mm; Amplitude = 0.00214311; Faza = -48.9339 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
171   X = 6 mm; Y = 39.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
172   X = 6 mm; Y = 40.5 mm; Amplitude = 0.00167699; Faza = 143.114 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
173   X = 6 mm; Y = 40.5 mm; Amplitude = 0.00192132; Faza = -32.2597 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
174   X = 6 mm; Y = 40.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
175   X = 6 mm; Y = 41.1 mm; Amplitude = 0.00175341; Faza = 165.518 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
176   X = 6 mm; Y = 41.1 mm; Amplitude = 0.00193474; Faza = -12.4815 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
177   X = 6 mm; Y = 41.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
178   X = 6 mm; Y = 41.7 mm; Amplitude = 0.0021276; Faza = -176.107 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
179   X = 6 mm; Y = 41.7 mm; Amplitude = 0.00219815; Faza = 5.21556 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
180   X = 6 mm; Y = 41.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
181   X = 6 mm; Y = 42.3 mm; Amplitude = 0.00269289; Faza = -163.943 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
182   X = 6 mm; Y = 42.3 mm; Amplitude = 0.00263976; Faza = 18.1305 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
183   X = 6 mm; Y = 42.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
